"MBNo","MBDate","ROCode","RONo","Amt"
"QCNS0141821718",29-12-2017 0:00:00,$299.00,$2353.00,$1859.00
"QCNS0150131718",9-1-2018 0:00:00,$307.00,$2361.00,$5576.00
"QCNS0142491718",29-12-2017 0:00:00,$307.00,$2361.00,$5576.00
"QCNS0143061718",2-1-2018 0:00:00,$305.00,$2359.00,$3717.00
"QCNS0147501718",5-1-2017 0:00:00,$310.00,$2364.00,$3717.00
"QCNS0149921718",9-1-2018 0:00:00,$276.00,$2330.00,$17346.00
"QCNS0150651718",10-1-2018 0:00:00,$286.00,$2340.00,$7434.00
"QCNS0147481718",5-1-2018 0:00:00,$335.00,$2389.00,$5576.00
"QCNS0147711718",5-1-2018 0:00:00,$275.00,$2329.00,$6938.00
"QCNS0147731718",5-1-2018 0:00:00,$294.00,$2348.00,$7434.00
"QCNS0146981718",5-1-2018 0:00:00,$273.00,$2327.00,$5576.00
"QCNS0147081718",5-1-2018 0:00:00,$295.00,$2349.00,$1859.00
"QCNS0147061718",5-1-2018 0:00:00,$296.00,$2350.00,$3717.00
"QCNS0147511718",5-1-2018 0:00:00,$338.00,$2392.00,$1859.00
"UP/JAN/17-18/029",9-1-2018 0:00:00,$287.00,$2341.00,$10196.00
"",,$287.00,$2341.00,$10196.00
"UP/JAN/17-18/083",19-1-2018 0:00:00,$300.00,$2354.00,$15292.00
"QCNS0157941718",22-1-2018 0:00:00,$323.00,$2377.00,$6938.00
"QCNS0158181718",22-1-2018 0:00:00,$190.00,$2244.00,$7434.00
"QCNS0158201718",22-1-2018 0:00:00,$297.00,$2351.00,$11151.00
"UP-I-1718-146573",31-12-2018 0:00:00,$349.00,$2403.00,$797.90
"UP-I-1718-146083",31-12-2018 0:00:00,$245.00,$2299.00,$17269.88
"UP-I-1718-146084",31-12-2018 0:00:00,$245.00,$2299.00,$1918.88
"UP-I-1718-151292",8-1-2018 0:00:00,$359.00,$2413.00,$797.90
"UP-I-1718-151288",8-1-2018 0:00:00,$358.00,$2412.00,$797.90
"UP-I-1718-151269",8-1-2018 0:00:00,$354.00,$2408.00,$1595.38
"UP-I-1718-150575",6-1-2018 0:00:00,$355.00,$2409.00,$4908.75
"UP-I-1718-146183",30-12-2018 0:00:00,$350.00,$2404.00,$22312.50
"UP-I-1718-152113",9-1-2018 0:00:00,$360.00,$2414.00,$4096.58
"UP-I-1718-151148",8-1-2018 0:00:00,$360.00,$2414.00,$4096.58
"90415",28-1-2018 0:00:00,$419.00,$2473.00,$1531.64
"90365",22-1-2018 0:00:00,$424.00,$2478.00,$1010.08
"QCNS0165961718",1-2-2018 0:00:00,$386.00,$2440.00,$2788.00
"QCNS0165951718",1-2-2018 0:00:00,$387.00,$2441.00,$2788.00
"QCNS1065941718",1-2-2018 0:00:00,$383.00,$2437.00,$1859.00
"QCNS0165931718",1-2-2018 0:00:00,$384.00,$2438.00,$1859.00
"QCNS0165921718",1-2-2018 0:00:00,$385.00,$2439.00,$3117.00
"QCNS016591718",1-2-2018 0:00:00,$369.00,$2423.00,$3717.00
"QCNS0165901718",1-2-2018 0:00:00,$368.00,$2422.00,$8876.00
"QCNS0165131718",30-1-2018 0:00:00,$353.00,$2407.00,$20815.00
"QCNS0163691718",29-1-2018 0:00:00,$334.00,$2388.00,$14868.00
"QCNS0166731718",2-2-2018 0:00:00,$352.00,$2406.00,$6938.00
"BCUP17RV-0033751",29-1-2018 0:00:00,$388.00,$2442.00,$4082.40
"BCUP17RV-0033742",29-1-2018 0:00:00,$396.00,$2450.00,$4082.40
"152",9-2-2018 0:00:00,$372.00,$2426.00,$14042.00
"QCNS0175101718",19-2-2018 0:00:00,$377.00,$2431.00,$7434.00
"QCNS0175081718",19-2-2018 0:00:00,$366.00,$2420.00,$6938.00
"QCNS0175051718",19-2-2018 0:00:00,$367.00,$2421.00,$11151.00
"UP/MAR/17-18/009",8-3-2018 0:00:00,$418.00,$2472.00,$10196.00
"QCNS018401718",12-3-2018 0:00:00,$423.00,$2477.00,$17346.00
"QCNS0180371718",28-3-2018 0:00:00,$370.00,$2424.00,$20815.00
